Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
49,15.330644,72.361018,12.8515605714,66.3286034082,0.746803,71.613609,15,15,True,0,4,512,tidy_all(library),False
50,21.39998,17.748824,13.02252896,65.35700782,0.711798,17.036527,10,10,True,0,4,43,tidy_all(library),False
51,33.059008,162.260555,13.415401098,67.2570773725,0.720803,161.539231,13,13,True,5,5,91,tidy_all(library),False
52,49.400016,62.526949,14.1074129231,67.1661133654,0.901389,61.625046,12,12,True,6,6,314,tidy_all(library),False
53,0.242108,1.111862,13.8458033962,65.9198067358,1.111662,0,1,0,False,2,6,108,tidy_all(library),False
54,0.377533,2.100202,13.5963909815,64.7379622037,1.048776,1.050904,8,8,True,0,6,378,tidy_all(library),False
55,0.25176,1.77982,13.3537613273,63.5932687091,1.010274,0.769105,6,6,True,0,6,546,tidy_all(library),False
56,0.246615,1.897658,13.1197051429,62.491561375,1.063741,0.833444,5,5,True,0,6,174,tidy_all(library),False
57,0.27146,2.091718,12.8942973333,61.431915,1.05856,1.032536,6,6,True,0,6,450,tidy_all(library),False
58,0.407428,2.31928,12.6790064828,60.4127316379,1.077845,1.240965,8,8,True,0,6,456,tidy_all(library),False
59,9.401365,65.07312,12.6234532373,60.4917212712,1.170883,63.901728,16,16,True,0,6,311,tidy_all(library),False
60,29.751205,134.418562,12.9089157667,61.7238352833,1.077783,133.340205,13,13,True,7,7,161,tidy_all(library),False
61,0.28574,2.806998,12.701978459,60.7579854918,1.185757,1.62077,7,7,True,0,7,67,tidy_all(library),False
62,30.418352,1.47209,12.9877264194,59.801761371,1.471915,0,13,0,False,4,7,27,tidy_all(library),False
63,18.743717,20.408076,13.0790913492,59.1764647778,1.2,19.207555,12,12,True,8,8,551,tidy_all(library),False
64,42.359563,1.567948,13.5365987188,58.2763317031,1.567755,0,11,0,False,3,8,397,tidy_all(library),False
65,49.196443,77.2948,14.0852117077,58.5689235231,1.535035,75.759252,12,12,True,9,9,299,tidy_all(library),False
66,14.402371,70.056512,14.0900171515,58.7429778939,1.869857,68.186146,15,15,True,0,9,235,tidy_all(library),False
67,21.757717,27.671309,14.2044604328,58.2792216418,1.618799,26.051953,12,12,True,10,10,541,tidy_all(library),False
68,8.281065,44.740323,14.1173516765,58.0801201912,2.268747,42.471058,17,17,True,0,10,226,tidy_all(library),False
69,15.236346,75.395356,14.1335689855,58.3310656377,1.785071,73.609684,15,15,True,0,10,512,tidy_all(library),False
70,14.258679,26.761322,14.1353562714,57.8800693,1.689215,25.071551,13,13,True,11,11,325,tidy_all(library),False
71,8.955442,76.02708,14.0623997324,58.135661,1.844694,74.181883,15,15,True,0,11,482,tidy_all(library),False
72,23.728944,8.183327,14.1966572917,57.4418785833,1.820887,6.361899,12,12,True,12,12,281,tidy_all(library),False
73,37.594246,229.901973,14.5171722055,59.8043456301,2.048117,227.853364,12,12,True,13,13,74,tidy_all(library),False
74,0.254098,3.236865,14.3244279595,59.0399202162,2.216798,1.019583,4,4,True,0,13,6,tidy_all(library),False
75,11.822285,105.455555,14.2910660533,59.6587953467,2.124927,103.330124,14,14,True,0,13,45,tidy_all(library),False
76,17.876473,5.186151,14.3382424605,58.9420500263,2.108671,3.076776,9,9,True,0,13,68,tidy_all(library),False
77,0.35341,3.348453,14.1566212597,58.2200552597,2.247602,1.10032,6,6,True,0,13,107,tidy_all(library),False
78,1.766249,16.146021,13.9977703333,57.6806445641,2.492003,13.65351,20,20,True,0,13,298,tidy_all(library),False
79,36.359643,6.099809,14.2808320127,57.0277225949,2.284257,3.814906,9,9,True,0,13,407,tidy_all(library),False
80,7.620431,4.275376,14.197577,56.3683182625,2.874228,1.400638,7,7,True,0,13,248,tidy_all(library),False
81,2.22588,15.066727,14.0497782716,55.8584220741,2.321686,12.744473,17,17,True,0,13,352,tidy_all(library),False
82,18.384496,6.533126,14.1026406829,55.2568940732,2.264955,4.267604,7,7,True,0,13,101,tidy_all(library),False
83,22.387399,6.046211,14.2024570482,54.6639942771,2.397268,3.64731,10,10,True,0,13,565,tidy_all(library),False
84,18.685179,14.537191,14.2558227857,54.1862942381,2.15546,12.381187,11,11,True,14,14,69,tidy_all(library),False
85,0.29829,3.450223,14.0916165176,53.5893992824,2.304943,1.144727,6,6,True,0,14,137,tidy_all(library),False
86,30.098016,17.518932,14.2777374419,53.1699752442,2.366611,15.15183,9,9,True,0,14,53,tidy_all(library),False
87,0.253353,3.300457,14.1165376207,52.5967623908,2.32943,0.970534,6,6,True,0,14,464,tidy_all(library),False
88,0.237359,3.332757,13.9588196818,52.0369441477,2.345712,0.985063,7,7,True,0,14,503,tidy_all(library),False
89,0.231288,1.980106,13.8045777528,51.474507764,1.979923,0,0,0,False,0,14,216,tidy_all(library),True
90,0.293146,4.155716,13.6544507333,50.9487434111,2.668311,1.486856,6,6,True,0,14,186,tidy_all(library),False
91,46.045398,18.448203,14.0103952088,50.5915946154,2.376466,16.071285,9,9,True,0,14,11,tidy_all(library),False
92,3.794356,15.546625,13.8993513043,50.2106710326,2.469036,13.077025,17,17,True,0,14,337,tidy_all(library),False
93,2.213423,15.648097,13.7736961613,49.8390304516,2.3832,13.264398,19,19,True,0,14,519,tidy_all(library),False
94,32.428315,16.166869,13.9721495532,49.4808159681,2.665229,13.501088,10,10,True,0,14,313,tidy_all(library),False
95,3.90101,3.566734,13.8661375579,48.9975098421,2.435211,1.131017,6,6,True,0,14,571,tidy_all(library),False
96,6.560804,35.647506,13.7900403333,48.8584473021,2.406012,33.240941,15,15,True,0,14,527,tidy_all(library),False
97,8.833896,42.096823,13.7389460619,48.7887398351,2.508072,39.588214,17,17,True,0,14,236,tidy_all(library),False
98,0.331487,2.586881,13.6021352551,48.3172922959,2.586702,0,4,0,False,8,14,575,tidy_all(library),False
99,13.653836,72.380345,13.6026574848,48.5603534343,2.50935,69.870446,13,13,True,15,15,521,tidy_all(library),False
100,0.248836,2.905768,13.46911927,48.10380758,2.905583,0,6,0,False,10,15,546,tidy_all(library),False
101,10.991227,4.562549,13.4445856832,47.6727060099,2.555938,2.004949,11,11,True,16,16,497,tidy_all(library),False
102,26.657688,33.61949,13.574125902,47.5349293824,3.116675,30.502257,12,12,True,17,17,275,tidy_all(library),False
103,25.272197,279.469361,13.6876994078,49.7867199806,2.873,276.595867,13,13,True,18,18,50,tidy_all(library),False
104,0.235733,3.554348,13.5583535769,49.3421779423,3.55412,0,7,0,False,16,18,503,tidy_all(library),False
105,9.921357,81.886744,13.5237155143,49.6521261905,3.346432,78.538647,16,16,True,0,18,369,tidy_all(library),False
106,0.344195,4.200001,13.3993804151,49.2233325566,3.099278,1.100173,6,6,True,0,18,465,tidy_all(library),False
107,20.04001,10.789223,13.4614423738,48.864135271,3.775324,7.013367,11,11,True,19,19,479,tidy_all(library),False
108,10.829251,12.750755,13.4370702315,48.5297521204,3.406947,9.343317,12,12,True,20,20,564,tidy_all(library),False
109,7.755318,79.413652,13.3849440642,48.8130906514,3.774058,75.639055,16,16,True,0,20,316,tidy_all(library),False
110,22.934191,42.854418,13.4717554,48.7589209,3.485534,39.36805,12,12,True,21,21,127,tidy_all(library),False
111,3.046157,18.876928,13.3778310901,48.4897137568,4.752239,14.124132,20,20,True,0,21,308,tidy_all(library),False
112,3.048623,18.879052,13.2856060179,48.2253328482,4.83498,14.043536,20,20,True,0,21,308,tidy_all(library),False
113,34.413407,361.606033,13.472577708,50.9986133805,3.730005,357.875433,14,14,True,0,21,86,tidy_all(library),False
114,4.605333,28.576979,13.3947948596,50.8019323772,4.673895,23.902509,19,19,True,0,21,164,tidy_all(library),False
115,0.420816,5.037084,13.2819776522,50.4039771739,3.631711,1.404633,6,6,True,0,21,438,tidy_all(library),False
116,11.553898,61.232115,13.2670804138,50.4973231897,4.191656,57.039746,15,15,True,0,21,507,tidy_all(library),False
117,10.761834,4.087124,13.2456680513,50.1006548205,4.086921,0,12,0,False,20,21,564,tidy_all(library),False
118,0.23502,3.065073,13.135408322,49.7020481949,3.064868,0,0,0,False,0,21,540,tidy_all(library),True
119,5.710679,24.590316,13.0730156387,49.4910252353,3.857947,20.731837,17,17,True,0,21,332,tidy_all(library),False
120,20.035083,6.043306,13.1310328667,49.1289609083,3.956393,2.086416,9,9,True,0,21,537,tidy_all(library),False
121,6.999596,34.783692,13.0803598347,49.0104049669,4.148381,30.634739,17,17,True,0,21,483,tidy_all(library),False
122,0.286242,5.664992,12.9754900164,48.6551146967,3.801472,1.862944,7,7,True,0,21,67,tidy_all(library),False
123,0.246542,4.016339,12.8720026341,48.2921978211,4.016156,0,5,0,False,18,21,54,tidy_all(library),False
124,0.977243,5.379825,12.7760771532,47.9461302984,5.379648,0,6,0,False,17,21,192,tidy_all(library),False
125,0.759494,7.158146,12.679944488,47.619826424,4.355605,2.801998,24,24,True,0,21,562,tidy_all(library),False
126,0.239911,4.978097,12.5812140635,47.2814,3.673639,1.303914,4,4,True,0,21,48,tidy_all(library),False
127,4.504504,5.767535,12.5176179213,46.9545191732,4.129964,1.63691,6,6,True,0,21,319,tidy_all(library),False
128,36.922206,167.572401,12.7082787656,47.896846375,3.771652,163.800237,12,12,True,22,22,85,tidy_all(library),False
129,0.251421,5.118743,12.6117139767,47.5652331705,3.78693,1.331081,6,6,True,0,22,444,tidy_all(library),False
130,25.103811,11.381407,12.7078070308,47.2868960462,3.948199,7.432618,9,9,True,0,22,97,tidy_all(library),False
131,24.051547,103.409217,12.7944004656,47.7153107099,4.373381,99.035292,13,13,True,23,23,506,tidy_all(library),False
132,28.380812,38.127127,12.9124793409,47.6426729545,4.023782,34.102767,11,11,True,24,24,49,tidy_all(library),False
133,8.530009,62.69214,12.8795284361,47.7558268421,6.382179,56.309418,15,15,True,0,24,415,tidy_all(library),False
134,24.274708,8.261747,12.9645670896,47.461094903,6.09081,2.170422,9,9,True,0,24,420,tidy_all(library),False
135,1.550091,6.510729,12.8800154148,47.1577588593,4.871841,1.638343,7,7,True,0,24,246,tidy_all(library),False
136,19.241166,6.959351,12.9267885809,46.8621823309,4.485757,2.473046,8,8,True,0,24,385,tidy_all(library),False
137,6.598409,5.086928,12.8805960292,46.5572534672,5.086716,0,13,0,False,2,24,142,tidy_all(library),False
138,18.429615,142.176544,12.9208063116,47.2501468768,4.434104,137.741881,16,16,True,0,24,301,tidy_all(library),False
139,29.717658,7.176436,13.0416469712,46.9618467986,7.176257,0,13,0,False,7,24,161,tidy_all(library),False
140,20.164966,6.237678,13.0925278214,46.6709598786,6.237456,0,11,0,False,19,24,479,tidy_all(library),False
141,17.112974,72.503426,13.1210416241,46.8541688582,5.144902,67.357868,13,13,True,25,25,531,tidy_all(library),False
142,0.250811,8.989556,13.0304061972,46.5875166549,8.989367,0,5,0,False,19,25,408,tidy_all(library),False
143,0.244617,4.980646,12.9409950839,46.2965595175,4.980463,0,5,0,False,24,25,54,tidy_all(library),False
144,3.682071,19.473256,12.876697,46.1102865764,5.32911,14.143557,19,19,True,0,25,94,tidy_all(library),False
145,49.549007,6.549066,13.1296094828,45.8374505724,6.548874,0,11,0,False,3,25,505,tidy_all(library),False
146,32.672111,19.865313,13.2634622329,45.6595592192,5.294556,14.570244,10,10,True,0,25,313,tidy_all(library),False
147,5.870313,38.109278,13.2131687007,45.6081967619,4.404914,33.703624,18,18,True,0,25,448,tidy_all(library),False
148,69.654571,435.631617,13.594529527,48.2434901419,6.843533,428.787537,14,14,True,0,25,188,tidy_all(library),False
149,16.395989,79.8267,13.6133312685,48.4554579933,5.35205,74.474097,14,14,True,0,25,542,tidy_all(library),False
150,0.247109,9.048324,13.52422312,48.1927437667,9.048109,0,5,0,False,19,25,408,tidy_all(library),False
151,0.231781,3.671481,13.436193702,47.8979009669,3.671263,0,0,0,False,0,25,504,tidy_all(library),True
152,16.126471,10.559275,13.4538928947,47.6522521118,5.288484,5.270079,11,11,True,26,26,168,tidy_all(library),False
153,13.739456,62.364459,13.4557593203,47.7484103268,6.4171,55.946816,14,14,True,0,26,203,tidy_all(library),False
154,20.156899,30.070743,13.4992732143,47.6336202792,5.513831,24.556185,12,12,True,27,27,377,tidy_all(library),False
155,16.382601,75.373342,13.517875329,47.8125862258,5.557409,69.815397,14,14,True,0,27,542,tidy_all(library),False
156,14.069404,14.030019,13.5214107692,47.5960313077,6.011336,8.01813,8,8,True,0,27,77,tidy_all(library),False
157,1.184886,12.623668,13.4428341783,47.3732774013,5.337229,7.285891,20,20,True,0,27,550,tidy_all(library),False
158,0.246378,7.327451,13.3593123038,47.1198228038,5.923549,1.402516,7,7,True,0,27,499,tidy_all(library),False
159,2.880907,7.920878,13.2934103836,46.8732885597,5.165664,2.754475,8,8,True,0,27,569,tidy_all(library),False
160,23.801531,59.470101,13.3590861375,46.9520186375,4.961972,54.507607,12,12,True,28,28,63,tidy_all(library),False
161,0.288378,7.908605,13.2779016149,46.7095129627,7.90838,0,7,0,False,1,28,228,tidy_all(library),False
162,49.069217,7.472395,13.4988356605,46.4673085309,7.472189,0,12,0,False,9,28,299,tidy_all(library),False
163,10.141659,7.531369,13.4782394847,46.2284377362,7.531154,0,9,0,False,16,28,425,tidy_all(library),False
164,0.267866,6.600023,13.3976884268,45.986801061,5.045305,1.554203,5,5,True,0,28,126,tidy_all(library),False
165,1.439224,8.709811,13.3252128848,45.7608799091,6.079957,2.629147,8,8,True,0,28,286,tidy_all(library),False
166,33.270717,45.815835,13.4453665241,45.7612109639,6.381413,39.433796,12,12,True,29,29,435,tidy_all(library),False
167,1.598669,17.122489,13.3744282156,45.5897216108,7.581717,9.540197,21,21,True,0,29,165,tidy_all(library),False
168,11.215886,59.513103,13.36157975,45.672598881,5.185626,54.326881,12,12,True,30,30,135,tidy_all(library),False
169,4.382368,28.526301,13.3084483195,45.571141497,5.387581,23.138158,17,17,True,0,30,124,tidy_all(library),False
170,7.619892,10.756429,13.2749862235,45.3663490706,8.5373,2.217387,7,7,True,0,30,248,tidy_all(library),False
171,7.065034,7.072972,13.2386707135,45.142411193,5.422229,1.6502,7,7,True,0,30,24,tidy_all(library),False
172,0.522924,9.278719,13.1647419535,44.9339013547,7.133553,2.144678,7,7,True,0,30,249,tidy_all(library),False
173,38.942873,38.3733,13.3137484913,44.8959788035,5.337673,33.03508,11,11,True,31,31,121,tidy_all(library),False
174,25.087714,6.91828,13.3814149598,44.6777161667,6.918069,0,13,0,False,18,31,50,tidy_all(library),False
175,5.650706,31.971399,13.33723948,44.60510864,9.790807,22.180001,19,19,True,0,31,232,tidy_all(library),False
176,1.899933,23.438034,13.2722547841,44.4848411705,5.93457,17.502878,18,18,True,0,31,549,tidy_all(library),False
177,0.232802,4.495454,13.1985855593,44.2589124294,4.495243,0,0,0,False,0,31,180,tidy_all(library),True
178,10.182036,110.741002,13.1816386517,44.6324073146,6.420545,104.31989,16,16,True,0,31,266,tidy_all(library),False
179,58.435641,502.913431,13.4344543073,47.1926364972,7.096051,495.816814,13,13,True,32,32,146,tidy_all(library),False
180,0.270075,6.325041,13.3613188667,46.9655943,6.324834,0,5,0,False,31,32,126,tidy_all(library),False
181,9.886787,100.476824,13.342122558,47.261236453,6.009666,94.466575,14,14,True,0,32,547,tidy_all(library),False
182,7.53581,34.19142,13.3102197418,47.1894242747,6.827711,27.363143,17,17,True,0,32,484,tidy_all(library),False
183,7.875342,45.863265,13.2805209563,47.1821775027,9.306081,36.556614,17,17,True,0,32,163,tidy_all(library),False
184,0.241705,6.787901,13.2096578261,46.9626433913,6.787722,0,1,0,False,2,32,108,tidy_all(library),False
185,28.438563,6.962158,13.2919762324,46.7464245514,6.961959,0,11,0,False,24,32,49,tidy_all(library),False
186,6.517818,40.715596,13.2555560269,46.7140007419,6.959709,33.755192,15,15,True,0,32,527,tidy_all(library),False
187,37.318787,238.586469,13.3842364064,47.7400567219,5.893032,232.69291,14,14,True,0,32,14,tidy_all(library),False
188,0.248057,9.360335,13.3143631117,47.535909266,7.793208,1.565583,5,5,True,0,32,510,tidy_all(library),False
189,24.280113,44.187906,13.3723829524,47.518194963,6.851569,37.335756,13,13,True,33,33,472,tidy_all(library),False
190,10.712278,119.327475,13.3583824,47.8961385421,9.297177,110.029705,15,15,True,0,33,488,tidy_all(library),False
191,18.953976,12.96642,13.3876787016,47.7132604346,6.610012,6.355837,10,10,True,0,33,131,tidy_all(library),False
192,4.050976,28.386523,13.3390500417,47.6126003438,8.592189,19.79376,19,19,True,0,33,154,tidy_all(library),False
193,35.452155,209.708244,13.453625715,48.4524741451,8.524846,201.182879,14,14,True,0,33,193,tidy_all(library),False
194,15.627614,155.803198,13.4648318402,49.0058283918,6.430823,149.371807,14,14,True,0,33,117,tidy_all(library),False
195,35.686677,8.970616,13.5787900205,48.8005196103,8.970401,0,9,0,False,24,33,37,tidy_all(library),False
196,35.215583,212.385447,13.6891818214,49.6351365867,8.465803,203.919075,14,14,True,0,33,193,tidy_all(library),False
197,26.21105,449.450701,13.7527446041,51.6646572183,6.290308,443.15982,13,13,True,34,34,122,tidy_all(library),False
198,0.233674,5.081239,13.6844664697,51.4293874293,5.081021,0,0,0,False,0,34,324,tidy_all(library),True
199,23.76916,7.655962,13.7351433216,51.2094204673,7.655732,0,12,0,False,28,34,63,tidy_all(library),False
200,15.063695,124.929567,13.74178608,51.5780212,7.509943,117.419047,16,16,True,0,34,261,tidy_all(library),False
201,53.326184,10.155704,13.9387233831,51.3719400199,10.155484,0,10,0,False,12,34,209,tidy_all(library),False
202,2.037176,8.397928,13.8798048317,51.1591973861,6.629337,1.767913,5,5,True,0,34,359,tidy_all(library),False
203,6.257832,39.44905,13.8422581675,51.101511931,11.929741,27.518752,17,17,True,0,34,416,tidy_all(library),False
204,0.234264,7.671506,13.7755523137,50.8886197451,7.671283,0,4,0,False,8,34,395,tidy_all(library),False
205,34.641865,305.671332,13.8773392049,52.1314622439,9.496441,296.174339,15,15,True,0,34,147,tidy_all(library),False
206,4.716971,32.542986,13.8328713981,52.0363725534,6.40877,26.133681,14,14,True,0,34,106,tidy_all(library),False
207,1.1089,9.877666,13.7714029372,51.8327073043,8.202011,1.675121,7,7,True,0,34,486,tidy_all(library),False
208,1.101495,13.01004,13.7104899183,51.6460598654,7.950535,5.05876,22,22,True,0,34,382,tidy_all(library),False
209,3.659714,23.654324,13.6624000813,51.5121281148,6.471814,17.181974,19,19,True,0,34,22,tidy_all(library),False
210,26.196392,33.161348,13.7220857571,51.4247434476,7.789521,25.371201,12,12,True,35,35,387,tidy_all(library),False
211,0.374752,11.63322,13.6588282512,51.2361580284,11.632946,0,8,0,False,27,35,378,tidy_all(library),False
212,24.183052,128.280944,13.708470816,51.5995768302,8.930855,119.34957,15,15,True,0,35,81,tidy_all(library),False
213,0.253343,10.913474,13.6453012019,51.4085622629,9.217368,1.695562,5,5,True,0,35,179,tidy_all(library),False
214,0.257655,8.289896,13.5827421075,51.2070731682,6.421824,1.867475,5,5,True,0,35,12,tidy_all(library),False
215,28.856666,242.061999,13.653783614,52.0947704977,9.934028,232.127419,13,13,True,36,36,223,tidy_all(library),False
216,14.482867,10.58657,13.657621963,51.9026029028,10.586338,0,7,0,False,25,36,429,tidy_all(library),False
217,34.890771,153.372651,13.755470576,52.3702068111,12.018892,141.353124,15,15,True,0,36,230,tidy_all(library),False
218,15.235996,24.093714,13.7622619771,52.2404981284,6.803668,17.289427,12,12,True,37,37,566,tidy_all(library),False
219,3.075614,28.675872,13.7134644977,52.1328970959,11.337341,17.337787,20,20,True,0,37,274,tidy_all(library),False
220,0.256012,9.56793,13.6522942591,51.9394199727,9.567674,0,3,0,False,31,37,114,tidy_all(library),False
221,5.079521,25.851988,13.6135034299,51.8213772941,7.312885,18.53855,13,13,True,38,38,348,tidy_all(library),False
222,13.71323,10.138571,13.6139526486,51.6336169054,10.138352,0,13,0,False,15,38,521,tidy_all(library),False
223,3.047432,30.505885,13.566569148,51.538873713,10.755537,19.749742,20,20,True,0,38,308,tidy_all(library),False
224,2.57183,28.463324,13.5174854911,51.4358578661,11.814677,16.647872,20,20,True,0,38,196,tidy_all(library),False
225,24.187065,13.23246,13.5649058444,51.2660649867,10.686459,2.545426,9,9,True,0,38,420,tidy_all(library),False
226,1.891,30.86418,13.5132513938,51.1757911593,8.242857,22.620691,18,18,True,0,38,549,tidy_all(library),False
227,4.905027,82.053212,13.4753297004,51.3118150396,8.510183,73.542412,16,16,True,0,38,543,tidy_all(library),False
228,0.230545,5.737952,13.4172385395,51.1119296754,5.737739,0,0,0,False,0,38,288,tidy_all(library),True
229,19.130202,75.417217,13.4421859782,51.2180663013,12.726241,62.690412,13,13,True,39,39,239,tidy_all(library),False
230,37.793486,99.954292,13.5480611957,51.4299629348,8.934777,91.018931,12,12,True,40,40,116,tidy_all(library),False
231,20.010126,98.981329,13.5760355022,51.6358130043,11.13884,87.840635,12,12,True,41,41,207,tidy_all(library),False
232,17.769126,99.205849,13.5941091681,51.8408562629,14.481215,84.724077,15,15,True,0,41,410,tidy_all(library),False
233,25.962165,15.150337,13.6471909528,51.6833862232,15.150123,0,12,0,False,35,41,387,tidy_all(library),False
234,5.303119,58.441081,13.6115325256,51.7122652607,8.871164,49.569361,14,14,True,0,41,136,tidy_all(library),False
235,33.547672,54.827681,13.6963671617,51.7255223489,9.775156,45.051958,12,12,True,42,42,439,tidy_all(library),False
236,1.515036,16.145897,13.6447513517,51.5747612246,8.365854,7.778353,19,19,True,0,42,328,tidy_all(library),False
237,12.00913,391.053593,13.6378499958,53.0071613586,14.742718,376.310307,14,14,True,0,42,373,tidy_all(library),False
238,0.261864,13.470273,13.5816483739,52.841039979,11.422787,2.046883,6,6,True,0,42,211,tidy_all(library),False
239,17.629124,10.892685,13.5985834184,52.6655238494,10.89249,0,8,0,False,6,42,320,tidy_all(library),False
240,23.385221,17.098614,13.639361075,52.5173283917,8.420425,8.677539,11,11,True,43,43,357,tidy_all(library),False
241,31.68835,16.542473,13.7142531452,52.3680551328,16.542233,0,10,0,False,8,43,371,tidy_all(library),False
242,24.518635,680.917424,13.7588993512,54.9653665744,17.802643,663.114139,15,15,True,0,43,405,tidy_all(library),False
