Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
124,1.175261,13.381654,FALSE,12.4036656774,13.381337,0,11,11,False,39,74,98,tidy_all(library),False
125,5.897609,22.211955,FALSE,12.482131992,22.211636,0,10,12,False,50,74,179,tidy_all(library),False
126,2.951547,22.308115,FALSE,12.5601159841,22.307784,0,13,13,False,6,74,152,tidy_all(library),False
127,0.239046,21.855423,FALSE,12.633307378,21.855095,0,4,12,False,40,74,5,tidy_all(library),False
128,0.657887,20.229582,FALSE,12.6926532734,16.921994,3.306805,18,18,True,75,75,138,tidy_all(library),False
129,1.942306,23.94653,FALSE,12.7798926279,23.946212,0,13,13,False,32,75,114,tidy_all(library),False
130,1.199273,21.588879,FALSE,12.8476540615,21.588554,0,16,16,False,72,75,182,tidy_all(library),False
131,0.673406,20.120865,FALSE,12.9031747557,16.917173,3.202815,18,18,True,76,76,187,tidy_all(library),False
132,1.252583,27.065581,FALSE,13.0104657121,21.487336,5.57745,15,15,True,77,77,103,tidy_all(library),False
133,2.22585,18.592844,FALSE,13.0524384812,18.592512,0,11,11,False,27,77,159,tidy_all(library),False
134,1.71388,25.312252,FALSE,13.1439296269,25.311927,0,15,15,False,67,77,157,tidy_all(library),False
135,1.591174,18.934542,FALSE,13.1868230519,18.934199,0,12,12,False,1,77,23,tidy_all(library),False
136,0.233262,14.981379,FALSE,13.2000183162,14.98106,0,4,10,False,61,77,85,tidy_all(library),False
137,2.721331,25.232372,FALSE,13.2878457153,25.232061,0,11,11,False,22,77,168,tidy_all(library),False
138,1.885894,26.255051,FALSE,13.381810971,20.771054,5.483018,14,14,True,78,78,136,tidy_all(library),False
139,5.880793,25.343971,FALSE,13.4678696763,25.343681,0,10,12,False,50,78,179,tidy_all(library),False
140,1.691371,16.865314,FALSE,13.4921371357,16.864928,0,13,13,False,21,78,87,tidy_all(library),False
141,0.2728,14.966407,FALSE,13.5025929504,14.966015,0,5,5,False,12,78,60,tidy_all(library),False
142,1.371393,17.126165,FALSE,13.5281110634,17.125847,0,7,9,False,19,78,79,tidy_all(library),False
143,1.169335,14.785815,FALSE,13.5369061958,14.785391,0,11,11,False,39,78,98,tidy_all(library),False
